cluster	nomenclature	taxon
3843	1.4.1.5.3.1.1.4.4	a/chicken/egypt/1036/2010_CLADE2.2.1
3843	1.4.1.5.3.1.1.4.4	a/duck/egypt/101565v/2010_CLADE2.2.1
3843	1.4.1.5.3.1.1.4.4	a/duck/egypt/10131/2010_CLADE2.2.1
3843	1.4.1.5.3.1.1.4.4	a/duck/egypt/10185ss/2010_CLADE2.2.1
3843	1.4.1.5.3.1.1.4.4	a/chicken/egypt/bsu-bs-r10/2009_CLADE2.2.1
3843	1.4.1.5.3.1.1.4.4	a/chicken/egypt/f8/2009_CLADE2.2.1
3843	1.4.1.5.3.1.1.4.4	a/duck/egypt/bsu-bs-r9/2009_CLADE2.2.1
3843	1.4.1.5.3.1.1.4.4	a/equine/egypt/av1/2009_CLADE2.2.1
3843	1.4.1.5.3.1.1.4.4	a/chicken/egypt/0896-nlqp/2008_CLADE2.2.1
3843	1.4.1.5.3.1.1.4.4	a/duck/egypt/09315s-nlqp/2009_CLADE2.2.1
3843	1.4.1.5.3.1.1.4.4	a/duck/egypt/1025sf/2010_CLADE2.2.1
3843	1.4.1.5.3.1.1.4.4	a/chicken/egypt/2095-50/2010_CLADE2.2.1
3843	1.4.1.5.3.1.1.4.4	a/chicken/egypt/101604v/2010_CLADE2.2.1
3843	1.4.1.5.3.1.1.4.4	a/chicken/egypt/10259sf/2010_CLADE2.2.1
3843	1.4.1.5.3.1.1.4.4	a/egypt/n03072/2010_CLADE2.2.1
3843	1.4.1.5.3.1.1.4.4	a/egypt/n01644/2010_CLADE2.2.1
3843	1.4.1.5.3.1.1.4.4	a/goose/egypt/10209sf/2010_CLADE2.2.1
3843	1.4.1.5.3.1.1.4.4	a/chicken/egypt/1012sf/2010_CLADE2.2.1
3843	1.4.1.5.3.1.1.4.4	a/egypt/n04434/2010_CLADE2.2.1
3843	1.4.1.5.3.1.1.4.4	a/chicken/egypt/1022l/2010_CLADE2.2.1
3843	1.4.1.5.3.1.1.4.4	a/egypt/17692/2010_CLADE2.2.1
3843	1.4.1.5.3.1.1.4.4	a/chicken/egypt/1038al/2010_CLADE2.2.1
3843	1.4.1.5.3.1.1.4.4	a/chicken/egypt/1123al/2011_CLADE2.2.1
