clustername,bootstrap,leafname,branchPath,medianOfDistances,sequencesperCluster
10296,0.9999,'a/duck/guangxi/5075/2005_CLADE2_3_4',0.05360985940937183,0.011385372908382999,117
10296,0.9999,'a/chicken/guangxi/4989/2005_CLADE2_3_4',0.05097386206160721,0.011385372908382999,117
10296,0.9999,'a/goose/yunnan/6193/2006_CLADE2_3_4',0.057570442397523534,0.011385372908382999,117
10296,0.9999,'a/duck/hunan/988/2006_CLADE2_3_4',0.0529644848839556,0.011385372908382999,117
10296,0.9999,'a/duck/fujian/9651/2005_CLADE2_3_4',0.05363126109422856,0.011385372908382999,117
10296,0.9999,'a/duck/hunan/324/2006_CLADE2_3_4',0.05164865342256122,0.011385372908382999,117
10296,0.9999,'a/duck/vietnam/52/2007_CLADE2_3_4',0.06095719317394565,0.011385372908382999,117
10296,0.9999,'a/duck/laos/3295/2006_CLADE2_3_4',0.05361125752392815,0.011385372908382999,117
10296,0.9999,'a/goose/yunnan/1144/2006_CLADE2_3_4',0.05428629508882835,0.011385372908382999,117
10296,0.9999,'a/duck/shantou/13323/2005_CLADE2_3_4',0.051641836410658,0.011385372908382999,117
10296,0.9999,'a/duck/vietnam/55/2007_CLADE2_3_4',0.06356944327491432,0.011385372908382999,117
10296,0.9999,'a/chicken/fujian/12239/2005_CLADE2_3_4',0.0596656690232081,0.011385372908382999,117
10296,0.9999,'a/goose/yunnan/5979/2006_CLADE2_3_4',0.06220316866570914,0.011385372908382999,117
10296,0.9999,'a/muscovy_duck/vietnam/41/2007_CLADE2_3_4',0.060923210806883725,0.011385372908382999,117
10296,0.9999,'a/china/gd01/2006_CLADE2_3_4',0.052953244788692684,0.011385372908382999,117
10296,0.9999,'a/chicken/fujian/11933/2005_CLADE2_3_4',0.058344295843672296,0.011385372908382999,117
10296,0.9999,'a/duck/yunnan/6490/2006_CLADE2_3_4',0.05691055905578852,0.011385372908382999,117
10296,0.9999,'a/chicken/nakhonphanom/niah113718/2006_CLADE2_3_4',0.05426827960753077,0.011385372908382999,117
10296,0.9999,'a/goose/guiyang/1304/2006_CLADE2_3_4',0.05295862462233777,0.011385372908382999,117
10296,0.9999,'a/duck/vietnam/38/2007_CLADE2_3_4',0.058925375875760404,0.011385372908382999,117
10296,0.9999,'a/goose/yunnan/1396/2006_CLADE2_3_4',0.05559958031562883,0.011385372908382999,117
10296,0.9999,'a/duck/hunan/856/2006_CLADE2_3_4',0.0529644848839556,0.011385372908382999,117
10296,0.9999,'a/muscovy_duck/vietnam/54/2007_CLADE2_3_4',0.062359075787676,0.011385372908382999,117
10296,0.9999,'a/goose/yunnan/6169/2005_CLADE2_3_4',0.05642416607085853,0.011385372908382999,117
10296,0.9999,'a/duck/guiyang/3834/2005_CLADE2_3_4',0.052958149193277564,0.011385372908382999,117
10296,0.9999,'a/duck/fujian/12032/2005_CLADE2_3_4',0.05631163752040836,0.011385372908382999,117
10296,0.9999,'a/chicken/malaysia/5223/2007_CLADE2_3_4',0.057029226076348215,0.011385372908382999,117
10296,0.9999,'a/chicken/fujian/10313/2005_CLADE2_3_4',0.05429072149305369,0.011385372908382999,117
10296,0.9999,'a/goose/guangxi/1633/2006_CLADE2_3_4',0.05229720742632384,0.011385372908382999,117
10296,0.9999,'a/goose/guangxi/52/2006_CLADE2_3_4',0.055072187747445274,0.011385372908382999,117
