cluster	nomenclature	taxon
10250	1.2.1.1.1.3.2.4.1.1.3.6.1.1.1.1	a_/_h5n1/a/chicken/egypt/d10552b/2015_CLADE2_2_1_2
10250	1.2.1.1.1.3.2.4.1.1.3.6.1.1.1.1	a_/_h5n1/a/turkey/israel/14/2015_CLADE2_2_1_2
10250	1.2.1.1.1.3.2.4.1.1.3.6.1.1.1.1	a_/_h5n1/a/chicken/israel/88/2015_CLADE2_2_1_2
10250	1.2.1.1.1.3.2.4.1.1.3.6.1.1.1.1	a_/_h5n1/a/spur-winged_lapwing/israel/101/2015_CLADE2_2_1_2
10250	1.2.1.1.1.3.2.4.1.1.3.6.1.1.1.1	a_/_h5n1/a/turkey/israel/188/2015_CLADE2_2_1_2
10250	1.2.1.1.1.3.2.4.1.1.3.6.1.1.1.1	a_/_h5n1/a/turkey/israel/107/2015_CLADE2_2_1_2
10250	1.2.1.1.1.3.2.4.1.1.3.6.1.1.1.1	a_/_h5n1/a/turkey/israel/174/2015_CLADE2_2_1_2
10250	1.2.1.1.1.3.2.4.1.1.3.6.1.1.1.1	a_/_h5n1/a/turkey/israel/274/2015_CLADE2_2_1_2
10250	1.2.1.1.1.3.2.4.1.1.3.6.1.1.1.1	a_/_h5n1/a/turkey/israel/209/2015_CLADE2_2_1_2
10250	1.2.1.1.1.3.2.4.1.1.3.6.1.1.1.1	a_/_h5n1/a/chicken/israel/156/2015_CLADE2_2_1_2
10250	1.2.1.1.1.3.2.4.1.1.3.6.1.1.1.1	a_/_h5n1/a/chicken/egypt/1478cal/2014_CLADE2_2_1_2
10250	1.2.1.1.1.3.2.4.1.1.3.6.1.1.1.1	a_/_h5n1/a/chicken/egypt/153af/2015_CLADE2_2_1_2
10250	1.2.1.1.1.3.2.4.1.1.3.6.1.1.1.1	a_/_h5n1/a/chicken/egypt/152/2015_CLADE2_2_1_2
10250	1.2.1.1.1.3.2.4.1.1.3.6.1.1.1.1	a_/_h5n1/a/turkey/egypt/ar235-s240nlqp/2014_CLADE2_2_1_2
10250	1.2.1.1.1.3.2.4.1.1.3.6.1.1.1.1	a_/_h5n1/a/chicken/egypt/clevb-1_n00215/2014_CLADE2_2_1_2
10250	1.2.1.1.1.3.2.4.1.1.3.6.1.1.1.1	a_/_h5n1/a/duck/egypt/bs-146rs-f6/2014_CLADE2_2_1_2
10250	1.2.1.1.1.3.2.4.1.1.3.6.1.1.1.1	a_/_h5n1/a/egypt/n04915/2014_CLADE2_2_1_2
10250	1.2.1.1.1.3.2.4.1.1.3.6.1.1.1.1	a_/_h5n1/a/duck/cairo/157ca/2015_CLADE2_2_1_2
10250	1.2.1.1.1.3.2.4.1.1.3.6.1.1.1.1	a_/_h5n1/a/egypt/moh-nrc-7305/2014_CLADE2_2_1_2
10250	1.2.1.1.1.3.2.4.1.1.3.6.1.1.1.1	a_/_h5n1/a/turkey/egypt/14240faos/2014_CLADE2_2_1_2
10250	1.2.1.1.1.3.2.4.1.1.3.6.1.1.1.1	a_/_h5n1/a/chicken/egypt/ar233-s283nlqp/2014_CLADE2_2_1_2
10250	1.2.1.1.1.3.2.4.1.1.3.6.1.1.1.1	a_/_h5n1/a/chicken/egypt/clevb-18_n00232/2015_CLADE2_2_1_2
10250	1.2.1.1.1.3.2.4.1.1.3.6.1.1.1.1	a_/_h5n1/a/duck/egypt/ar236-a3nlqp/2015_CLADE2_2_1_2
10250	1.2.1.1.1.3.2.4.1.1.3.6.1.1.1.1	a_/_h5n1/a/egypt/n04915/2014__nibrg-306_CLADE2_2_1_2
10250	1.2.1.1.1.3.2.4.1.1.3.6.1.1.1.1	a_/_h5n1/a/duck/egypt/ar232-a13nlqp/2014_CLADE2_2_1_2
10250	1.2.1.1.1.3.2.4.1.1.3.6.1.1.1.1	a_/_h5n1/a/egypt/682/2015_CLADE2_2_1_2
10250	1.2.1.1.1.3.2.4.1.1.3.6.1.1.1.1	a_/_h5n1/a/egypt/moh-nrc-7271/2014_CLADE2_2_1_2
10250	1.2.1.1.1.3.2.4.1.1.3.6.1.1.1.1	a_/_h5n1/a/duck/menia/1543s/2015_CLADE2_2_1_2
10250	1.2.1.1.1.3.2.4.1.1.3.6.1.1.1.1	a_/_h5n1/a/turkey/menia/15248s/2015_CLADE2_2_1_2
10250	1.2.1.1.1.3.2.4.1.1.3.6.1.1.1.1	a_/_h5n1/a/chicken/egypt/a10540d/2015_CLADE2_2_1_2
10250	1.2.1.1.1.3.2.4.1.1.3.6.1.1.1.1	a_/_h5n1/a/chicken/egypt/a10543a/2015_CLADE2_2_1_2
10250	1.2.1.1.1.3.2.4.1.1.3.6.1.1.1.1	a_/_h5n1/a/chicken/giza/3/2015_CLADE2_2_1_2
10250	1.2.1.1.1.3.2.4.1.1.3.6.1.1.1.1	a_/_h5n1/a/chicken/egypt/a10542e/2015_CLADE2_2_1_2
10250	1.2.1.1.1.3.2.4.1.1.3.6.1.1.1.1	a_/_h5n1/a/chicken/egypt/a10544e/2015_CLADE2_2_1_2
10250	1.2.1.1.1.3.2.4.1.1.3.6.1.1.1.1	a_/_h5n1/a/chicken/egypt/a10543b/2015_CLADE2_2_1_2
10250	1.2.1.1.1.3.2.4.1.1.3.6.1.1.1.1	a_/_h5n1/a/chicken/egypt/a10540e/2015_CLADE2_2_1_2
10250	1.2.1.1.1.3.2.4.1.1.3.6.1.1.1.1	a_/_h5n1/a/chicken/egypt/a10537b/2015_CLADE2_2_1_2
10250	1.2.1.1.1.3.2.4.1.1.3.6.1.1.1.1	a_/_h5n1/a/chicken/egypt/a10540c/2015_CLADE2_2_1_2
10250	1.2.1.1.1.3.2.4.1.1.3.6.1.1.1.1	a_/_h5n1/a/chicken/egypt/a10542a/2015_CLADE2_2_1_2
10250	1.2.1.1.1.3.2.4.1.1.3.6.1.1.1.1	a_/_h5n1/a/chicken/egypt/a10544c/2015_CLADE2_2_1_2
