CLUSTER	TAXA	Sensitivity-induced (original cluster-node-id)	Sub-cluster subsumed into parent (original cluster-node-id)
24	'a/brown-headed_gull/thailand/vsmu-28-spk/2005_CLADE1'		
313	'a/open-billed_stork/nakhonsawan/bbd1221j/05_CLADE1'		
301	'a/great_barbet/thailand/vsmu-2-cbi/2005_CLADE1'		
844	'a/chicken/vietnam/ncvd-880/2011_CLADE1.1.1'		
0	'a/ck/hk/3169.1/2002_CLADE1'		
694	'a/cambodia/r0405050/2007_CLADE1.1'		
301	'a/open-billed_stork/thailand/vsmu-15-atg/2005_CLADE1'		
24	'a/duck/saraburi/thailand/cu-74/04_CLADE1'		
690	'a/duck/vietnam/6/2007_CLADE1.1'		
922	'a/duck/cambodia/11w2m1/2013_CLADE1.1.2'		
694	'a/duck/cambodia/d5kc167/2006_CLADE1.1'		
649	'a/duck/vietnam/ncvd-7/2007_CLADE1'		
922	'a/civet_cat/cambodia/x0313307/2013_CLADE1.1.2'		
24	'a/chicken/prachinburi/thailand/cu-8/04_CLADE1'		
24	'a/open-billed_stork/bangkok/lbd0111f/04_CLADE1'		
24	'a/chicken/thailand/nakornsawan-02/2004_CLADE1'		
24	'a/vietnam/ut30259/2004_CLADE1'		
567	'a/environment/viet_nam/ncvdcdc59/2005_CLADE1'		
24	'a/chicken/vietnam/p22/05_CLADE1'		
24	'a/chicken/viet_nam/ncvd31/2004_CLADE1'		
844	'a/chicken/vietnam/ncvd-882/2011_CLADE1.1.1'		
24	'a/chicken/thailand/bangkok-01/2004_CLADE1'		
0	'a/duck/yunnan/119/2003_CLADE1'		
501	'a/chicken/thailand/pc-340/2008_CLADE1'		
922	'a/environment/cambodia/c1154w38m1/2013_CLADE1.1.2'		
24	'a/duck/kamphaengphet/niah6-2-0041/2004_CLADE1'		
853	'a/chicken/cambodia/tkcmb5t/2010_CLADE1.1.2'		
301	'a/duck/uthaithani-2-01/2004_CLADE1'		
304	'a/pigeon/thailand/vsmu-25-bkk/2005_CLADE1'		
922	'a/duck/cambodia/x0220302/2013_CLADE1.1.2'		
922	'a/cambodia/x0219301/2013_CLADE1.1.2'		
776	'a/duck/vietnam/ncvd-101/2008_CLADE1.1.1'		
378	'a/chicken/thailand/cu-321/06_CLADE1'		
301	'a/chicken/uthaithani-2-02/2004_CLADE1'		
24	'a/pigeon/thailand/vsmu-7-npt/2004_CLADE1'		
454	'a/chicken/viet_nam/ncvd09/2005_CLADE1'		
24	'a/dk/viet_nam/11/2004_CLADE1'		
783	'a/duck/vietnam/ncvd-364/2009_CLADE1.1.2'		
24	'a/duck/vietnam/tg36-h2/05_CLADE1'		
24	'a/chicken/thailand/bangkok-02/2004_CLADE1'		
844	'a/chicken/vietnam/ncvd-1225/2012_CLADE1.1.1'		
596	'a/viet_nam/jp14/2005_CLADE1'		
602	'a/quail/thailand/cu-331/06_CLADE1'		
922	'a/cambodia/x0207301/2013_CLADE1.1.2'		
922	'a/cambodia/x1024307/2013_CLADE1.1.2'		
596	'a/duck/cambodia/d3kp/2006_CLADE1'		
304	'a/thailand/676/2005_CLADE1'		
694	'a/duck/cambodia/d4kc167/2006_CLADE1.1'		
323	'a/chicken/vietnam/ncvd12/2005_CLADE1'		407
323	'a/chicken/vietnam/10/2004_CLADE1'		
910	'a/environment/cambodia/c53w/2011_CLADE1.1.2'		
102	'a/crow/bangkok/thailand/cu-15/04_CLADE1'		
323	'a/ck/viet_nam/37/2004_CLADE1'		
501	'a/chicken/thailand/ns-339/2008_CLADE1'		
694	'a/duck/vietnam/ncvd-17/2007_CLADE1.1'		
24	'a/little_grebe/thailand/phichit-01/2004_CLADE1'		
304	'a/thailand/rpnpha/2005_CLADE1'		
235	'a/chicken/kamphaengphet/niah6-3-0011/2005_CLADE1'		
501	'a/chicken/thailand/icrc-195/2007_CLADE1'		
0	'a/duck/yunnan/662/2003_CLADE1'		
501	'a/chicken/thailand/icrc-618/2008_CLADE1'		
24	'a/thailand/kan353/2004_CLADE1'		
24	'a/ck/thailand/1/2004_CLADE1'		
461	'a/viet_nam/hn30408/2005_CLADE1'		
102	'a/chicken/lopburi/thailand/cu-38/04_CLADE1'		
928	'a/environment/cambodia/c425d/2011_CLADE1.1.2'		
101	'a/viet_nam/3046/2004_CLADE1'		
24	'a/chicken/prachinburi/thailand/cu-104/04_CLADE1'		
0	'a/hong_kong/213/2003_CLADE1'		
24	'a/partridge/thailand/uttaradit-01/2004_CLADE1'		
24	'a/vietnam/ut3028ii/2003_CLADE1'		
815	'a/duck/vietnam/ncvd-362/2009_CLADE1.1.2'		
596	'a/duck/viet_nam/367/2005_CLADE1'		
567	'a/chicken/vietnam/ncvd11/2005_CLADE1'		
922	'a/environment/cambodia/e328w9m4/2013_CLADE1.1.2'		
24	'a/thailand/chaiyaphum/622/2004_CLADE1'		
728	'a/duck/vietnam/ca_mau498a/2006_CLADE1.1'	739	
922	'a/duck/cambodia/x0124311/2013_CLADE1.1.2'		
323	'a/chicken/vietnam/159/2004_CLADE1'		
728	'a/chicken/vietnam/ncvd-3/2007_CLADE1.1'	739	
323	'a/duck/vietnam/376/2005_CLADE1'		407
24	'a/chicken/ayutthaya/thailand/cu-24/04_CLADE1'		
24	'a/quail/phathumthani/niah2711/2004_CLADE1'		
893	'a/cambodia/v0219301/2011_CLADE1.1.2'		
690	'a/muscovy_duck/vietnam/ben_tre_342/2006_CLADE1.1'		
812	'a/duck/vietnam/4/2010_CLADE1.1.1'		
815	'a/duck/vietnam/ncvd-366/2009_CLADE1.1.2'		
596	'a/duck/vietnam/hau_giang680e/2005_CLADE1'		
313	'a/chicken/thailand/cu-354/2008_CLADE1'		
24	'a/thailand/16/2004_CLADE1'		
24	'a/chicken/chonburi/thailand/cu-7/04_CLADE1'		
922	'a/duck/khanhhoa/cvvi-24/2013_CLADE1.1.2'		
24	'a/chicken/thailand/phitsanulok/niah6-3-0012/2005_CLADE1'		
501	'a/chicken/uthaithani/niah115067/2008_CLADE1'		
323	'a/vietnam/cl26/2004_CLADE1'		
753	'a/chicken/vietnam/ncvd-21/2007_CLADE1.1'		
602	'a/quail/thailand/cu-333/06_CLADE1'		
24	'a/chicken/nakhon_sawan/thailand/cu-12/04_CLADE1'		
323	'a/chicken/viet_nam/haugiang-617/2004_CLADE1'		
728	'a/muscovy_duck/ca_mau/1185/2006_CLADE1.1'		
323	'a/chicken/viet_nam/ld-080/2004_CLADE1'		
1022	'a/chicken/cambodia/x0815303/2013_CLADE1.1.2'		
0	'a/duck/hunan/1386/2003_CLADE1'		
922	'a/cambodia/x0215301/2013_CLADE1.1.2'		
313	'a/open-billed_stork/nakhonsawan/bbd1521j/2005_CLADE1'		
694	'a/duck/cambodia/d2kc167/2006_CLADE1.1'		
922	'a/cambodia/x0628313/2013_CLADE1.1.2'		
596	'a/duck/vietnam/177/2005_CLADE1'		
24	'a/chicken/thailand/mahasarakham-01/2004_CLADE1'		
24	'a/chicken/sukhothai/niah6-3-0018/2005_CLADE1'		
24	'a/chicken/bangkok/thailand/cu-20/04_CLADE1'		
812	'a/chicken/vietnam/4/2010_CLADE1.1.1'		822
501	'a/chicken/thailand/ns-342/2008_CLADE1'		
783	'a/chicken/vietnam/ncvd-380/2009_CLADE1.1.2'		
24	'a/duck/vietnam/220/2004_CLADE1'		
24	'a/chicken/nakornsawan-2-02/2004_CLADE1'		
690	'a/duck/vietnam/ncvd-8/2007_CLADE1.1'		
24	'a/chicken/thailand/icrc-213/2007_CLADE1'		
24	'a/chicken/vietnam/hd1/2004_CLADE1'		
728	'a/duck/bac_lieu/1213/2007_CLADE1.1'		
24	'a/chicken/vietnam/30/2003_CLADE1'		
0	'a/g.h/hk/793.1/02_CLADE1'		
